No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Completed,,,,,,,,,,,,,
1,SHIP CONSTRUCTION TURNKEY,Carlow,"Carrigbrook, Tullow Road, Carlow",6,*N/A,,,,,,Q3-2019,,,,,,,,,,,,,
2,SHIP CONSTRUCTION TURNKEY,Carlow,"Carrigbrook, Tullow Road, Carlow",6,*N/A,,,,,,Q3-2019,,,,,,,,,,,,,
3,SHIP CONSTRUCTION TURNKEY,Carlow,"Carrigbrook, Tullow Road, Carlow",12,*N/A,,,,,,Q3-2020,,,,,,,,,,,,,
4,SHIP CONSTRUCTION TURNKEY,Carlow,"Carrigbrook, Tullow Road, Carlow",10,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
5,SHIP CONSTRUCTION TURNKEY,Carlow,"Carrigbrook, Tullow Road, Carlow",16,*N/A,,,,,,Q4-2021,,,,,,,,,,,,,
6,SHIP CONSTRUCTION TURNKEY,Carlow,"Carrigbrook, Tullow Road, Carlow",13,*N/A,,,,,,Q2-2021,,,,,,,,,,,,,
7,SHIP CONSTRUCTION TURNKEY,Carlow,"Granville Court, Granby Row,Carlow",4,*N/A,,,,,,Q4-2021,,,,,,,,,,,,,
8,SHIP CONSTRUCTION SINGLE STAGE,Carlow,"Father Flood Avenue, Rathvilly",8,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
9,SHIP CONSTRUCTION SINGLE STAGE,Carlow,"St. Oliver's Crescent, Myshall",4,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
10,SHIP CONSTRUCTION SINGLE STAGE,Carlow,"St. Mary's Court & Dereen Heights, Carlow Town",6,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
11,SHIP CONSTRUCTION SINGLE STAGE,Carlow,"Crowsgrove, Kildavin",1,*N/A,,,,,,Q1-2020,,,,,,,,,,,,,
12,SHIP CONSTRUCTION SINGLE STAGE,Carlow,Ardattin,6,*N/A,,,,"Stage 4 approved Q2-2019, the scheme is fully approved.",,,,,,,,,,,,,,,
13,SHIP CONSTRUCTION SINGLE STAGE,Carlow,"SRD: Brownbog, Hackettstown",1,*N/A,,,,,Q1-2020,,,,,,,,,,,,,,
14,SHIP CONSTRUCTION SINGLE STAGE,Carlow,"Spahill, Borris",1,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
15,SHIP CONSTRUCTION SINGLE STAGE,Carlow,"St. Mary’s Court, Carlow",4,*N/A,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
16,SHIP CONSTRUCTION SINGLE STAGE,Carlow,"Drumphea, Garryhill, Bagenalstown",1,*N/A,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
17,SHIP CONSTRUCTION SINGLE STAGE,Carlow,"SRD - Constable Hill, Hackettstown",1,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
18,SHIP CONSTRUCTION SINGLE STAGE,Carlow,"Lackabeg, Kildavin",3,*N/A,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
19,SHIP CONSTRUCTION SINGLE STAGE,Carlow,"5 & 6 Staplestown Road, Carlow",2,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
20,SHIP CONSTRUCTION RENEWAL,Carlow,"Bog Lane, Borris, Co. Carlow",1,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
21,SHIP CONSTRUCTION,Carlow,"The Laurels, Carlow Town",5,*N/A,,,,,,Q2-2018,,,,,,,,,,,,,
22,SHIP CONSTRUCTION,Carlow,"Ard na Greine, Tullow",16,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
23,SHIP CONSTRUCTION,Carlow,"Dublin Road, Tullow",21,*N/A,,,,,,Q3-2019,,,,,,,,,,,,,
24,SHIP CONSTRUCTION,Carlow,Bagenalstown,20,*N/A,,,,,,Q3-2020,,,,,,,,,,,,,
25,SHIP CONSTRUCTION,Carlow,Bilboa,2,*N/A,,,,,,Q3-2018,,,,,,,,,,,,,
26,SHIP CONSTRUCTION,Carlow,"Slate Row, Hacketstown",4,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
27,SHIP CONSTRUCTION,Carlow,"Mount Leinster Park, Carlow",4,*N/A,,,,,,Q4-2017,,,,,,,,,,,,,
28,SHIP CONSTRUCTION,Carlow,Myshall,4,*N/A,,,,,,Q1-2018,,,,,,,,,,,,,
29,SHIP CONSTRUCTION,Carlow,"Pound Lane, Borris",4,*N/A,,,,,,Q3-2017,,,,,,,,,,,,,
30,SHIP CONSTRUCTION,Carlow,Rathvilly,10,*N/A,,,,,,Q2-2017,,,,,,,,,,,,,
31,SHIP CONSTRUCTION,Carlow,"Moneybeg, Bagenalstown",24,*N/A,,,,,,Q3-2017,,,,,,,,,,,,,
